date,ship_1,type,nationality_1,ship_2,nationality_2,location,latitude,longitude,outcome,source,type2,status,victor
1800-03-27 00:00:00+00,Samuel Smith,ship,USA,Mars,France,off Scilly,49.875908,-6.288476,Samuel Smith beat Mars off,QW5:353,Engagement but no capture,MP,none
1800-03-31 00:00:00+00,Minerva,ship,USA,La Minerve,France,47o50N 14W,47.83,-14,Minerva captured by Minerve,QW5:365,Captured by French,MP,French
1800-03-29 00:00:00+00,Nancy,brig,USA,privateer,France,17o42'N 52W,17.7,-52,privateer shears off after shots,QW5:375,Engagement but no capture,MP,none
1800-04-02 00:00:00+00,Nancy,brig,USA,privateer,France,21o50N 55W,21.83,-55,Nancy plundered and released,QW5:375,Boarded by French,MP,French
1800-04-05 00:00:00+00,John,schooner,USA,4 barges,France,bight of Leogane,19.4,-73.1,John captured,QW5:387,Captured by French,MP,French
1800-04-08 00:00:00+00,Industry,ship,USA,La Berceau,France,20N 55W,20,-55,Industry captured,QW5:396,Captured by French,MP,French
1800-04-16 00:00:00+00,Delia,brig,USA,privateer,France,near Turks,22.076448,-71.859508,Delia captured (eventually retaken by crew),QW5:422,Captured by French,MP,French
1800-01-10 00:00:00+00,USS Boston,frigate,USA,Deux Anges,France,near Cape Francois?,19.791075,-72.124386,Deux Anges captured,QW5:430,Captured by Americans,NP,American
1800-04-28 00:00:00+00,Hiram,sloop,USA,Soleil,France,18-19N; near Guadeloupe?,19.048414,-59.810384,Hiram captured,QW5:464,Captured by French,MP,French
1800-05-03 00:00:00+00,Ariel,brig,USA,L'Egypte Conquise,France,3 days from St. Thomas (250 miles?),20.8905,-62.169,Ariel captured,QW5:478,Captured by French,MP,French
1800-05-07 00:00:00+00,[commander John Estes],ship,USA,La Union,France,30o51N 70o40W,30.85,-70.66,USA ship captured,QW5:485,Captured by French,MP,French
1800-05-12 00:00:00+00,USS Constitution,frigate,USA,Sandwich,France,Port Plate,19.805354,-70.699644,Sandwich cut out by Isaac Hull in the harbor,QW5:504,Captured by Americans,NP,American
1800-05-16 00:00:00+00,Victor,schooner,USA,Unity,France,3 leagues off Eustatia,18.515876,-64.35201,Victor captured,QW5:523,Captured by French,MP,French
1800-05-18 00:00:00+00,Ceres,brig,USA,Hazard,France,27o50N 67o30W,27.833,-67.5,Ceres captured,QW5:532,Captured by French,MP,French
1800-05-19 00:00:00+00,Dispatch,(unarmed) sloop,USA,Hazard,France,28o4N 66o31W,28.066,-66.516,Hazard put Ceres' captives on Dispatch,QW5:537,Captured by French,MP,French
1800-05-20 00:00:00+00,Iphigenia,ship,USA,La Sophie,France,37o30N 21E,37.5,21,Sophie inspected papers and then let Iphigenia go,QW5:540,Boarded by French,MP,French
1800-05-22 00:00:00+00,Flora,sloop,USA,L'Egypte Conquise,France,near the Virgin Guada,18.517172,-64.412456,Flora captured,QW5:550,Captured by French,MP,French
1800-04-30 00:00:00+00,Columbia,brig,USA,L'Esperance,France,straits of Gibraltar,35.99,-5.422,Columbia captured,QW5:574,Captured by French,MP,French
1800-05-18 00:00:00+00,Dublin Packet,ship,USA,L'Abeille,France,off Cape St Vincent,37.004384,-9.092463,Dublin Packet captured,QW5:574,Captured by French,MP,French
1800-05-18 00:00:00+00,Friendship,brig,USA,L'Abeille,France,off Cape St Vincent,37.004384,-9.092463,Friendship captured,QW5:574,Captured by French,MP,French
1800-05-29 00:00:00+00,Minerva,ship,USA,Les Deux Amis,France,32o32N 66W,32.533,-66,Minerva plundered and released,QW5:575,Boarded by French,MP,French
1800-06-02 00:00:00+00,Experiment,armed schooner,USA,privateer,France,near Cape Nicola Mole,19.813308,-73.432023,privateer captured,QW6:4,Captured by Americans,MP,American
1800-06-02 00:00:00+00,Lively,schooner,USA,Courageux,France,37N 67W,37,-67,Lively captured,QW6:5,Captured by French,MP,French
1800-06-03 00:00:00+00,USS Augusta,brig,USA,La Victoire and La Jeanne,France,off Jacmel,18.065,-72.519,privateers captured,QW6:8,Captured by Americans,NP,American
1800-06-04 00:00:00+00,William,brig,USA,privateer,France,under lee of Guadeloupe,15.952709,-61.504277,shots fired,QW6:14,Engagement but no capture,MP,none
1800-06-06 00:00:00+00,Amazon,ship,USA,privateer,France,40N 25W,40,-25,Amazon captured,QW6:22,Captured by French,MP,French
1800-06-01 00:00:00+00,USS Connecticut,ship,USA,Le Piege,France,off Descada,16.375623,-61.01454,Le Piege captured,QW6:28,Captured by Americans,NP,American
1800-06-05 00:00:00+00,USS Connecticut,ship,USA,La Unite,France,near St. Kitts,17.493129,-62.716566,La Unite captured,QW6:29,Captured by Americans,NP,American
1800-06-13 00:00:00+00,USS John Adams,ship,USA,La Decade,France,off Guadeloupe,16.506357,-61.16494,La Decade captured,QW6:45,Captured by Americans,NP,American
1800-06-17 00:00:00+00,USS Enterprize,ship,USA,La Cygne,France,off Guadeloupe,16.5,-61.164,La Cygne captured,QW6:57,Captured by Americans,NP,American
1800-06-19 00:00:00+00,USS Norfolk,ship,USA,privateer,France,18o48N; St. Martins SW 8 leagues,18.4058,-62.73,privateer sailed away after engagement,QW6:61,Engagement but no capture,NP,none
1796-11-17 00:00:00+00,Despatch,brig,USA,privateer,France,near Port-au-Paix,19.989824,-72.84811,Despatch captured,ASP2:32,Captured by French,MP,French
1796-03-06 00:00:00+00,Two Friends,schooner,USA,Voltigeur,France,"26N,58W",26,-58,Two Friends captured,ASP2:35,Captured by French,MP,French
1797-03-25 00:00:00+00,Nancy,ship,USA,privateer,France,mouth of Port de Paix,19.966108,-72.842274,Nancy captured,ASP2:39,Captured by French,MP,French
1799-10-12 00:00:00+00,Almy,brigantine,USA,2 privateers,France,off northeast end of Jamaica,18.717481,-75.803835,Almy captured,ASP2:39,Captured by French,MP,French
1797-03-05 00:00:00+00,Lady Walterdorf,brig,USA,Poline,France,10 leagues NW of Martinique,15.22,-60.616,Lady Walterdorf captured,ASP2:39,Captured by French,MP,French
1797-12-28 00:00:00+00,Pattern,ship,USA,Trompeuse,France,4 leagues north of Square Handkerchief,21.3138,-70.45,Pattern captured,ASP2:41,Captured by French,MP,French
1797-01-15 00:00:00+00,Valeria,ship,USA,Souveraine,France,4-5 leagues from Cape Maize,20.413,-74.1,Valeria captured,ASP2:44,Captured by French,MP,French
1797-01-30 00:00:00+00,Commerce,ship,USA,privateer,France,"18o2N,60o10W",18.33,-60.16,Commerce captured,ASP2:45,Captured by French,MP,French
1796-12-27 00:00:00+00,Trio,brig,USA,Trompeuse,France,off Grand Turk,21.464888,-71.209672,Trio captured,ASP2:48,Captured by French,MP,French
1796-10-23 00:00:00+00,Diana,ship,USA,Vengeur,France,"49o31N,9o30W",49.516,-9.5,Diana captured,ASP2:52,Captured by French,MP,French
1797-05-18 00:00:00+00,Telemachus,brig,USA,2 launches,France,within cannon-shot of Alicant,38.325662,-0.430295,Telemachus captured,QW1:34,Captured by French,MP,French
1797-05-18 00:00:00+00,Pomona,ship,USA,2 launches,France,within cannon-shot of Alicant,38.325662,-0.430295,Pomona captured,QW1:34,Captured by French,MP,French
1797-05-18 00:00:00+00,Abigail,schooner,USA,2 launches,France,within cannon-shot of Alicant,38.325662,-0.430295,Abigail captured,QW1:34,Captured by French,MP,French
1797-05-18 00:00:00+00,Eliza,brig,USA,2 launches,France,within cannon-shot of Alicant,38.325662,-0.430295,Eliza captured,QW1:34,Captured by French,MP,French
1797-01-15 00:00:00+00,Ann and Mary,ship,USa,Vulture,France,"49o25N,11W",49.4166,-11,Ann and Mary captured,QW1:34,Captured by French,MP,French
1798-04-14 00:00:00+00,Commerce,brig,USA,Revenge,France,"36N,26W",36,-26,Commerce plundered,QW1:54,Plundered by French,MP,French
1798-07-05 00:00:00+00,Eliza,ship,USA,L'Heureux Decide,France,"48.35N,13W",48.35,-13,Eliza captured,QW1:164,Captured by French,MP,French
1798-07-07 00:00:00+00,USS Delaware,sloop,USA,Le Croyable,France,off Great Egg Harbour Bay,39.247643,-74.383778,Croyable captured,QW1:176,Captured by Americans,NP,American
1798-07-06 00:00:00+00,Alexander Hamilton,ship,USA,Le Croyable,France,off Little Egg Harbour,39.58304,-74.184449,Alexander Hamilton plundered,QW1:178,Plundered by French,MP,French
1798-07-23 00:00:00+00,Hetty Jane,ship,USA,privateer,France,500 miles from Charleston,27.901,-73.45,Hetty Jane captured,QW1:235,Captured by French,MP,French
1798-07-28 00:00:00+00,Planter,brig,USA,privateer,France,Cape Antonio SE 4 or 5 leagues,22.136,-85.1,Planter captured,QW1:248,Captured by French,MP,French
1798-07-28 00:00:00+00,Friendship,ship,USA,privateer,France,lat 29,29.075393,-75.436673,Friendship captured,QW1:251,Captured by French,MP,French
1798-09-09 00:00:00+00,USS Constitution,frigate,USA,Niger,France,lat 34o11,34.180014,-71.877103,Niger captured,QW1:385,Captured by Americans,NP,American
1798-09-12 00:00:00+00,Liberty,ship,USA,schooner,France,"13o3N,58W",13.05,-58,Liberty captured,QW1:399,Captured by French,MP,French
1798-10-10 00:00:00+00,Two Friends,ship,USA,Good Fortune,France,"28N,28W",28,-28,Two Friends captured,QW1:570,Captured by French,MP,French
1798-11-20 00:00:00+00,USS Baltimore,sloop,USA,privateer,France,off Havana,23.261529,-82.404379,privateer captured,QW2:21,Captured by Americans,NP,American
1798-11-30 00:00:00+00,Polly,brig,USA,privateer,France,"20o20N,66o59W",20.333,-66.98,chase but no shots fired,QW2:23,Engagement but no capture,MP,none
1798-10-07 00:00:00+00,Amphitrite,schooner,USA,Fleur de la Mer,France,Island de Aves,15.662832,-63.6,Amphitrite plundered,QW2:150,Plundered by French,MP,French
1797-01-16 00:00:00+00,Eliza,brig,USA,La Pancy and Thetis,France,"15o15N,59W",15.25,-59,Eliza captured,ASP2:40,Captured by French,MN,French
